Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Vehicle_Type,multiple_deliveries,Festival,City,Time_taken,Delivery_distance
INDORES13DEL02 ,37,4.9,22.745049,75.892471,22.765049,75.912471,19-03-2022,11:30:00,11:45:00,Sunny,High ,2,Snack ,motorcycle ,0,No ,Urban ,24,0.028284271247458786
BANGRES18DEL02 ,34,4.5,12.913041,77.683237,13.043041,77.813237,25-03-2022,19:45:00,19:50:00,Stormy,Jam ,2,Special Drinks,scooter ,1,No ,Metropolitian ,33,0.1838477631084997
BANGRES19DEL01 ,23,4.4,12.914264,77.6784,12.924264,77.6884,19-03-2022,08:30:00,08:45:00,Sandstorms,Low ,0,Drinks ,motorcycle ,1,No ,Urban ,26,0.014142135623735673
COIMBRES13DEL02 ,38,4.7,11.003669,76.976494,11.053669,77.026494,05-04-2022,18:00:00,18:10:00,Sunny,Medium ,0,Buffet ,motorcycle ,1,No ,Metropolitian ,21,0.07071067811865199
CHENRES12DEL01 ,32,4.6,12.972793,80.249982,13.012793,80.289982,26-03-2022,13:30:00,13:45:00,Cloudy,High ,1,Snack ,scooter ,1,No ,Metropolitian ,30,0.05656854249491883
HYDRES09DEL03 ,22,4.8,17.431668,78.408321,17.461668,78.438321,11-03-2022,21:20:00,21:30:00,Cloudy,Jam ,0,Buffet ,motorcycle ,1,No ,Urban ,26,0.04242640687119446
RANCHIRES15DEL01 ,33,4.7,23.369746,85.33982,23.479746,85.44982,04-03-2022,19:15:00,19:30:00,Fog,Jam ,1,Special Drinks,scooter ,1,No ,Metropolitian ,40,0.15556349186103965
MYSRES15DEL02 ,35,4.6,12.352058,76.60665,12.482058,76.73665,14-03-2022,17:25:00,17:30:00,Cloudy,Medium ,2,Special Drinks,motorcycle ,1,No ,Metropolitian ,32,0.1838477631084997
HYDRES05DEL02 ,22,4.8,17.433809,78.386744,17.563809,78.516744,20-03-2022,20:55:00,21:05:00,Stormy,Jam ,0,Special Drinks,motorcycle ,1,No ,Metropolitian ,34,0.1838477631085085
DEHRES17DEL01 ,36,4.2,30.327968,78.046106,30.397968,78.116106,12-02-2022,21:55:00,22:10:00,Fog,Jam ,2,Special Drinks,motorcycle ,3,No ,Metropolitian ,46,0.09899494936612209
KOCRES16DEL01 ,21,4.7,10.003064,76.307589,10.043064,76.347589,13-02-2022,14:55:00,15:05:00,Stormy,High ,1,Meal ,motorcycle ,1,No ,Metropolitian ,23,0.05656854249492762
PUNERES13DEL03 ,23,4.7,18.56245,73.916619,18.65245,74.006619,04-03-2022,17:30:00,17:40:00,Sandstorms,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,21,0.12727922061358338
LUDHRES15DEL02 ,34,4.3,30.899584,75.809346,30.919584,75.829346,13-02-2022,09:20:00,09:30:00,Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Metropolitian ,20,0.028284271247458786
KNPRES14DEL02 ,24,4.7,26.463504,80.372929,26.593504,80.502929,14-02-2022,19:50:00,20:05:00,Fog,Jam ,1,Special Drinks,scooter ,1,No ,Metropolitian ,41,0.18384776310849843
MUMRES15DEL03 ,29,4.5,19.176269,72.836721,19.266269,72.926721,02-04-2022,20:25:00,20:35:00,Sandstorms,Jam ,2,Buffet ,electric_scooter ,1,No ,Metropolitian ,20,0.12727922061358088
MYSRES01DEL01 ,35,4.0,12.311072,76.654878,12.351072,76.694878,01-03-2022,14:55:00,15:10:00,Windy,High ,1,Special Drinks,scooter ,1,No ,Metropolitian ,33,0.056568542494928875
PUNERES20DEL01 ,33,4.2,18.592718,73.773572,18.702718,73.883572,16-03-2022,20:30:00,20:40:00,Sandstorms,Jam ,2,Special Drinks,motorcycle ,1,No ,Metropolitian ,40,0.15556349186103965
HYDRES14DEL01 ,34,4.9,17.426228,78.407495,17.496228,78.477495,20-03-2022,20:40:00,20:50:00,Cloudy,Jam ,0,Special Drinks,motorcycle ,4,No ,Metropolitian ,41,0.09899494936612209
KOLRES15DEL03 ,21,4.7,22.552672,88.352885,22.582672,88.382885,15-02-2022,21:15:00,21:30:00,Windy,Jam ,0,Meal ,motorcycle ,1,No ,Urban ,15,0.042426406871191945
PUNERES19DEL02 ,25,4.1,18.563934,73.915367,18.643935,73.995367,16-03-2022,20:20:00,20:25:00,Sandstorms,Jam ,0,Special Drinks,motorcycle ,2,No ,Metropolitian ,36,0.1131377920988368
RANCHIRES06DEL02 ,31,4.7,23.357804,85.325146,23.487804,85.455146,10-03-2022,22:30:00,22:45:00,Sandstorms,Low ,2,Meal ,electric_scooter ,0,No ,Metropolitian ,26,0.18384776310849843
COIMBRES13DEL01 ,37,5.0,11.003669,76.976494,11.013669,76.986494,11-03-2022,08:15:00,08:30:00,Sandstorms,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,20,0.014142135623724367
CHENRES19DEL02 ,33,4.3,12.986047,80.218114,13.116047,80.348114,27-03-2022,19:30:00,19:45:00,Windy,Jam ,2,Special Drinks,scooter ,1,No ,Metropolitian ,39,0.1838477631084997
MUMRES02DEL01 ,25,4.0,19.221315,72.862381,19.261315,72.902381,26-03-2022,12:25:00,12:30:00,Cloudy,High ,1,Special Drinks,motorcycle ,1,No ,Metropolitian ,34,0.05656854249492762
CHENRES01DEL01 ,29,4.5,13.005801,80.250744,13.115801,80.360744,27-03-2022,18:35:00,18:50:00,Sunny,Medium ,2,Meal ,electric_scooter ,1,No ,Metropolitian ,15,0.15556349186103965
JAPRES16DEL03 ,27,5.0,26.849596,75.800512,26.879596,75.830512,05-04-2022,20:35:00,20:40:00,Stormy,Jam ,0,Snack ,motorcycle ,0,No ,Urban ,18,0.04242640687119446
SURRES15DEL03 ,35,4.3,21.160522,72.771477,21.250522,72.861477,12-03-2022,23:20:00,23:30:00,Cloudy,Low ,1,Special Drinks,scooter ,0,No ,Metropolitian ,38,0.12727922061357083
BANGRES09DEL03 ,32,4.0,12.934179,77.615797,13.024179,77.705797,16-03-2022,21:20:00,21:35:00,Windy,Jam ,0,Special Drinks,motorcycle ,1,No ,Metropolitian ,47,0.12727922061358088
PUNERES04DEL01 ,23,4.8,18.51421,73.838429,18.62421,73.948429,02-04-2022,23:35:00,23:45:00,Windy,Low ,2,Buffet ,electric_scooter ,0,No ,Urban ,12,0.15556349186104218
COIMBRES02DEL03 ,31,4.8,11.022477,76.995667,11.052477,77.025667,01-04-2022,22:35:00,22:50:00,Sandstorms,Low ,2,Drinks ,motorcycle ,1,No ,Metropolitian ,26,0.0424264068711932
SURRES16DEL02 ,36,4.1,21.160437,72.774209,21.210437,72.824209,05-03-2022,22:35:00,22:40:00,Stormy,Low ,0,Drinks ,motorcycle ,1,No ,Urban ,22,0.07071067811865074
GOARES15DEL02 ,26,4.3,15.51315,73.78346,15.56315,73.83346,11-02-2022,23:25:00,23:35:00,Sandstorms,Low ,0,Buffet ,motorcycle ,0,No ,Urban ,21,0.07071067811865325
GOARES07DEL01 ,38,4.9,15.561295,73.749478,15.601295,73.789478,11-02-2022,13:35:00,13:40:00,Cloudy,High ,1,Drinks ,scooter ,1,No ,Urban ,25,0.056568542494928875
RANCHIRES02DEL01 ,32,3.5,0.0,0.0,0.11,0.11,08-03-2022,21:35:00,21:45:00,Stormy,Jam ,1,Special Drinks,scooter ,0,No ,Urban ,35,0.15556349186104046
PUNERES19DEL02 ,32,4.6,18.563934,73.915367,18.693935,74.045367,02-04-2022,22:35:00,22:45:00,Cloudy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,30,0.18384847021664016
PUNERES02DEL01 ,33,4.9,18.55144,73.804855,18.62144,73.874855,08-03-2022,18:55:00,19:10:00,Sunny,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,22,0.09899494936611203
PUNERES18DEL01 ,20,4.7,18.593481,73.785901,18.633481,73.825901,03-04-2022,14:15:00,14:25:00,Windy,High ,1,Snack ,scooter ,0,No ,Urban ,10,0.05656854249492762
SURRES08DEL01 ,20,4.8,21.173343,72.792731,21.183343,72.802731,30-03-2022,11:00:00,11:10:00,Sandstorms,Low ,2,Meal ,scooter ,1,No ,Metropolitian ,19,0.014142135623725625
HYDRES17DEL02 ,35,5.0,17.451976,78.385883,17.471976,78.405883,01-04-2022,09:45:00,09:55:00,Sunny,Low ,2,Snack ,scooter ,1,No ,Urban ,11,0.028284271247461298
BANGRES17DEL02 ,26,4.9,12.972532,77.608179,12.992532,77.628179,28-03-2022,08:40:00,08:55:00,Stormy,Low ,2,Buffet ,scooter ,0,No ,Metropolitian ,11,0.028284271247460042
BANGRES17DEL01 ,22,4.8,12.972532,77.608179,13.042532,77.678179,18-03-2022,23:00:00,23:10:00,Fog,Low ,1,Snack ,motorcycle ,1,No ,Metropolitian ,28,0.09899494936611203
CHENRES11DEL01 ,35,4.3,13.064181,80.236442,13.134181,80.306442,14-03-2022,17:25:00,17:30:00,Cloudy,Medium ,1,Special Drinks,motorcycle ,1,No ,Metropolitian ,33,0.09899494936612209
MUMRES17DEL02 ,40,3.0,19.121999,72.908493,19.201999,72.988493,06-04-2022,NaN ,18:35:00,Cloudy,Medium ,1,Special Drinks,scooter ,1,No ,Metropolitian ,33,0.1131370849898477
SURRES17DEL03 ,37,4.7,21.149569,72.772697,21.239569,72.862697,04-04-2022,19:45:00,19:50:00,Sandstorms,Jam ,0,Special Drinks,motorcycle ,3,No ,Metropolitian ,52,0.12727922061358088
MUMRES07DEL01 ,28,4.6,19.091458,72.827808,19.201458,72.937808,08-03-2022,19:10:00,19:25:00,Stormy,Jam ,1,Snack ,scooter ,1,No ,Metropolitian ,22,0.15556349186103965
KOLRES16DEL02 ,37,4.9,22.539129,88.365507,22.559129,88.385507,13-02-2022,10:55:00,11:00:00,Fog,Low ,1,Snack ,scooter ,1,No ,Urban ,16,0.028284271247468833
MUMRES02DEL03 ,23,4.9,19.221315,72.862381,19.281315,72.922381,24-03-2022,21:40:00,21:45:00,Sunny,Jam ,2,Drinks ,electric_scooter ,0,No ,Metropolitian ,11,0.0848528137423864
BANGRES05DEL03 ,27,4.9,12.970324,77.645748,13.030324,77.705748,19-03-2022,19:00:00,19:15:00,Windy,Medium ,1,Drinks ,scooter ,1,No ,Metropolitian ,25,0.08485281374238766
CHENRES11DEL01 ,37,4.8,13.064181,80.236442,13.104181,80.276442,09-03-2022,16:45:00,16:55:00,Cloudy,Medium ,0,Drinks ,motorcycle ,1,No ,Urban ,26,0.056568542494928875
SURRES09DEL01 ,33,5.0,21.175975,72.795503,21.185975,72.805503,19-03-2022,11:30:00,11:40:00,Sunny,High ,2,Snack ,scooter ,1,No ,Metropolitian ,18,0.014142135623733162
RANCHIRES15DEL01 ,31,4.9,23.369746,85.33982,23.409746,85.37982,03-04-2022,15:10:00,15:15:00,Fog,Medium ,1,Snack ,motorcycle ,1,No ,Metropolitian ,16,0.05656854249491757
BANGRES19DEL01 ,31,4.8,12.914264,77.6784,13.024264,77.7884,25-03-2022,22:45:00,22:55:00,Stormy,Low ,2,Drinks ,scooter ,1,No ,Metropolitian ,23,0.1555634918610409
AURGRES20DEL03 ,25,5.0,0.0,0.0,0.03,0.03,13-02-2022,22:10:00,22:25:00,Cloudy,Low ,0,Snack ,motorcycle ,0,No ,Metropolitian ,15,0.042426406871192854
COIMBRES14DEL02 ,28,4.8,11.003681,76.975525,11.083681,77.055525,04-04-2022,20:45:00,20:55:00,Sandstorms,Jam ,0,Special Drinks,motorcycle ,1,No ,Metropolitian ,36,0.11313708498984645
